Type,Identification,Field,Locale,Status,Default content,Translated content
COLLECTION,'265253126192,title,fr,,Pet Food & Pet Care,
COLLECTION,'265253126192,body_html,fr,,"",
COLLECTION,'265253126192,meta_title,fr,,,
COLLECTION,'265253126192,meta_description,fr,,,
COLLECTION,'265253158960,title,fr,,Deodorants,
COLLECTION,'265253158960,body_html,fr,,"",
COLLECTION,'265253158960,meta_title,fr,,,
COLLECTION,'265253158960,meta_description,fr,,,
COLLECTION,'265253191728,title,fr,,Gen Mdse Personal Care,
COLLECTION,'265253191728,body_html,fr,,Test Description,
COLLECTION,'265253191728,meta_title,fr,,,
COLLECTION,'265253191728,meta_description,fr,,,
COLLECTION,'265253257264,title,fr,,Household Cleaners & Supplies,
COLLECTION,'265253257264,body_html,fr,,"",
COLLECTION,'265253257264,meta_title,fr,,,
COLLECTION,'265253257264,meta_description,fr,,,
COLLECTION,'265253290032,title,fr,,"Bodycare Kits, Sets & Travel Packs",
COLLECTION,'265253290032,body_html,fr,,"",
COLLECTION,'265253290032,meta_title,fr,,,
COLLECTION,'265253290032,meta_description,fr,,,
COLLECTION,'265253388336,title,fr,,Vitamins & Minerals,
COLLECTION,'265253388336,body_html,fr,,"",
COLLECTION,'265253388336,meta_title,fr,,,
COLLECTION,'265253388336,meta_description,fr,,,
COLLECTION,'265253421104,title,fr,,OTC Topical Products,
COLLECTION,'265253421104,body_html,fr,,"",
COLLECTION,'265253421104,meta_title,fr,,,
COLLECTION,'265253421104,meta_description,fr,,,
COLLECTION,'265253453872,title,fr,,Hair Products,
COLLECTION,'265253453872,body_html,fr,,"",
COLLECTION,'265253453872,meta_title,fr,,,
COLLECTION,'265253453872,meta_description,fr,,,
COLLECTION,'265253486640,title,fr,,Skin Care,
COLLECTION,'265253486640,body_html,fr,,"",
COLLECTION,'265253486640,meta_title,fr,,,
COLLECTION,'265253486640,meta_description,fr,,,
COLLECTION,'265253519408,title,fr,,Soap & Bath,
COLLECTION,'265253519408,body_html,fr,,"",
COLLECTION,'265253519408,meta_title,fr,,,
COLLECTION,'265253519408,meta_description,fr,,,
COLLECTION,'265253552176,title,fr,,Cosmetics & Beauty Aids,
COLLECTION,'265253552176,body_html,fr,,"",
COLLECTION,'265253552176,meta_title,fr,,,
COLLECTION,'265253552176,meta_description,fr,,,
COLLECTION,'265253584944,title,fr,,Oral Care,
COLLECTION,'265253584944,body_html,fr,,"",
COLLECTION,'265253584944,meta_title,fr,,,
